longitude,latitude,aver_price,latlon
113.365677,23.145626,47.2,"113.365677,23.145626"
113.493869,23.177867,34.9,"113.493869,23.177867"
113.333228,23.02578,93.8,"113.333228,23.02578"
113.221785,23.069076,27.1,"113.221785,23.069076"
113.644569,23.132511,23.7,"113.644569,23.132511"
113.204555,23.167569,51.7,"113.204555,23.167569"
113.344135,23.14099,83.3,"113.344135,23.14099"
113.406379,23.126321,76.7,"113.406379,23.126321"
113.281833,23.130506,55.7,"113.281833,23.130506"
113.366409,23.134098,52.0,"113.366409,23.134098"
113.376112,23.139871,80.0,"113.376112,23.139871"
113.324407,23.124074,105.9,"113.324407,23.124074"
113.22175,23.069031,35.7,"113.22175,23.069031"
113.551436,22.801919,34.0,"113.551436,22.801919"
113.219802,23.072054,22.4,"113.219802,23.072054"
113.36366,22.918489,71.4,"113.36366,22.918489"
113.570261,23.137317,16.3,"113.570261,23.137317"
113.286156,23.144971,81.2,"113.286156,23.144971"
113.482209,22.949708,40.5,"113.482209,22.949708"
113.215947,23.153044,45.3,"113.215947,23.153044"
113.314379,23.053117,42.4,"113.314379,23.053117"
113.325828,23.146535,78.7,"113.325828,23.146535"
113.501033,23.447717,26.3,"113.501033,23.447717"
113.286188,23.217774,48.0,"113.286188,23.217774"
113.507991,23.179778,37.0,"113.507991,23.179778"
113.323512,22.966836,41.0,"113.323512,22.966836"
113.296646,23.127651,46.7,"113.296646,23.127651"
113.280692,23.183487,67.4,"113.280692,23.183487"
113.263117,23.178083,48.2,"113.263117,23.178083"
113.618229,23.134954,33.3,"113.618229,23.134954"
113.33632,23.121668,187.5,"113.33632,23.121668"
113.26402,23.206519,37.5,"113.26402,23.206519"
113.274166,23.172506,40.0,"113.274166,23.172506"
113.334604,23.200253,39.1,"113.334604,23.200253"
113.210043,23.198945,31.6,"113.210043,23.198945"
113.315713,23.12451,75.0,"113.315713,23.12451"
113.210043,23.198945,36.1,"113.210043,23.198945"
113.307269,23.152545,74.5,"113.307269,23.152545"
113.53884,22.800968,33.3,"113.53884,22.800968"
113.276237,23.172302,106.1,"113.276237,23.172302"
113.303065,23.12636,94.3,"113.303065,23.12636"
113.295353,23.128789,66.7,"113.295353,23.128789"
113.337326,23.18648,54.9,"113.337326,23.18648"
113.268375,23.251451,44.4,"113.268375,23.251451"
113.338076,23.127821,69.6,"113.338076,23.127821"
113.599025,23.131439,23.7,"113.599025,23.131439"
113.848422,23.287082,10.2,"113.848422,23.287082"
113.321997,23.02393,38.3,"113.321997,23.02393"
113.371143,22.961413,76.4,"113.371143,22.961413"
113.337051,23.152802,93.6,"113.337051,23.152802"
113.241212,23.137263,35.5,"113.241212,23.137263"
113.314458,23.031259,40.0,"113.314458,23.031259"
113.262174,23.206871,56.6,"113.262174,23.206871"
113.276583,23.128988,127.0,"113.276583,23.128988"
113.348038,23.124057,188.9,"113.348038,23.124057"
113.482209,22.949708,28.6,"113.482209,22.949708"
113.377126,22.943593,21.3,"113.377126,22.943593"
