longitude,latitude,aver_price,latlon
116.450853,39.911975,211.1,"116.450853,39.911975"
116.64378,39.898048,73.7,"116.64378,39.898048"
116.703234,39.911017,63.6,"116.703234,39.911017"
116.34688,39.912912,153.8,"116.34688,39.912912"
116.102869,39.949929,68.3,"116.102869,39.949929"
116.372605,39.949564,122.1,"116.372605,39.949564"
116.451767,39.779121,55.6,"116.451767,39.779121"
116.418876,39.968393,150.0,"116.418876,39.968393"
116.529599,39.950025,101.3,"116.529599,39.950025"
116.252087,39.91772,98.3,"116.252087,39.91772"
116.438146,39.928077,190.9,"116.438146,39.928077"
116.357702,39.797657,53.3,"116.357702,39.797657"
116.360104,39.963352,144.4,"116.360104,39.963352"
116.366335,39.877194,104.4,"116.366335,39.877194"
116.692994,39.910567,59.0,"116.692994,39.910567"
116.356731,39.850714,73.8,"116.356731,39.850714"
116.511523,39.938707,95.4,"116.511523,39.938707"
116.422505,39.989847,86.2,"116.422505,39.989847"
116.154608,39.726495,41.1,"116.154608,39.726495"
116.457526,39.8764,79.7,"116.457526,39.8764"
116.259844,39.912414,108.7,"116.259844,39.912414"
116.425063,40.044097,152.9,"116.425063,40.044097"
116.453723,39.88678,127.5,"116.453723,39.88678"
116.31681,39.768231,95.7,"116.31681,39.768231"
116.455989,39.891295,108.6,"116.455989,39.891295"
116.330117,39.73655,53.8,"116.330117,39.73655"
116.471813,39.999963,144.4,"116.471813,39.999963"
116.508046,39.799319,70.9,"116.508046,39.799319"
116.333797,39.927927,171.9,"116.333797,39.927927"
116.476682,39.934282,145.6,"116.476682,39.934282"
116.38894,39.968913,128.1,"116.38894,39.968913"
116.66424,39.899598,67.2,"116.66424,39.899598"
116.661329,39.956868,56.2,"116.661329,39.956868"
116.408997,40.113334,58.8,"116.408997,40.113334"
116.459652,39.901899,124.1,"116.459652,39.901899"
116.11415,39.891953,54.3,"116.11415,39.891953"
116.335357,39.888221,126.5,"116.335357,39.888221"
116.476665,39.996957,153.8,"116.476665,39.996957"
116.437025,40.059329,140.4,"116.437025,40.059329"
116.588913,39.922146,68.2,"116.588913,39.922146"
116.286145,39.854863,75.0,"116.286145,39.854863"
116.594761,39.921447,97.6,"116.594761,39.921447"
116.658082,39.92439,80.0,"116.658082,39.92439"
116.374699,39.809437,76.9,"116.374699,39.809437"
116.377179,39.88737,104.3,"116.377179,39.88737"
116.416806,40.065593,81.1,"116.416806,40.065593"
116.163745,39.755725,41.0,"116.163745,39.755725"
116.424194,39.993993,121.1,"116.424194,39.993993"
116.302492,39.893778,72.2,"116.302492,39.893778"
116.447271,40.048622,105.3,"116.447271,40.048622"
116.167112,39.936388,67.8,"116.167112,39.936388"
116.439095,39.983437,127.1,"116.439095,39.983437"
116.341356,39.759364,48.2,"116.341356,39.759364"
116.675771,39.903665,53.7,"116.675771,39.903665"
116.671983,39.891343,44.3,"116.671983,39.891343"
116.377339,39.983461,119.5,"116.377339,39.983461"
116.444943,39.926894,218.8,"116.444943,39.926894"
116.432429,39.866533,80.4,"116.432429,39.866533"
116.542892,39.749119,50.6,"116.542892,39.749119"
116.444345,39.945375,163.3,"116.444345,39.945375"
116.409266,40.003413,124.4,"116.409266,40.003413"
116.382069,39.885767,101.4,"116.382069,39.885767"
116.569545,39.910974,72.3,"116.569545,39.910974"
116.372543,39.927054,213.5,"116.372543,39.927054"
116.110451,39.890387,41.7,"116.110451,39.890387"
116.117724,39.941152,52.5,"116.117724,39.941152"
116.42537,40.052808,86.8,"116.42537,40.052808"
116.444857,39.954789,158.6,"116.444857,39.954789"
116.450152,39.910913,130.4,"116.450152,39.910913"
116.703076,39.878396,54.5,"116.703076,39.878396"
116.325341,39.781506,61.0,"116.325341,39.781506"
116.348379,39.898284,116.4,"116.348379,39.898284"
116.70811,39.888054,47.2,"116.70811,39.888054"
116.54955,40.124616,41.1,"116.54955,40.124616"
116.461519,39.961727,133.9,"116.461519,39.961727"
116.491073,39.936639,112.7,"116.491073,39.936639"
116.302604,39.923826,116.1,"116.302604,39.923826"
116.541069,40.099551,83.3,"116.541069,40.099551"
116.423214,40.051429,105.9,"116.423214,40.051429"
116.374459,39.995227,113.7,"116.374459,39.995227"
116.665685,39.894058,80.0,"116.665685,39.894058"
116.277933,39.894604,96.6,"116.277933,39.894604"
116.150318,39.904298,50.0,"116.150318,39.904298"
116.385135,39.977329,158.2,"116.385135,39.977329"
116.281016,40.200688,66.2,"116.281016,40.200688"
116.459565,39.920863,220.0,"116.459565,39.920863"
116.254212,40.216336,43.7,"116.254212,40.216336"
116.485085,39.911848,120.0,"116.485085,39.911848"
116.360104,39.963352,140.4,"116.360104,39.963352"
116.708466,39.925012,47.2,"116.708466,39.925012"
