longitude,latitude,dist,latlon
116.150318,39.904298,门头沟,"116.150318,39.904298"
116.385135,39.977329,朝阳,"116.385135,39.977329"
116.281016,40.200688,昌平,"116.281016,40.200688"
116.459565,39.920863,朝阳,"116.459565,39.920863"
116.254212,40.216336,昌平,"116.254212,40.216336"
116.485085,39.911848,朝阳,"116.485085,39.911848"
116.360104,39.963352,海淀,"116.360104,39.963352"
116.708466,39.925012,通州,"116.708466,39.925012"
116.469439,39.891382,朝阳,"116.469439,39.891382"
116.34141,39.855605,丰台,"116.34141,39.855605"
116.344335,39.770444,大兴,"116.344335,39.770444"
116.376346,39.951025,西城,"116.376346,39.951025"
116.319424,39.766366,大兴,"116.319424,39.766366"
116.175752,39.728172,房山,"116.175752,39.728172"
116.478715,39.916424,朝阳,"116.478715,39.916424"
116.351655,39.952841,海淀,"116.351655,39.952841"
116.250173,39.839454,丰台,"116.250173,39.839454"
116.428929,39.980782,朝阳,"116.428929,39.980782"
116.4388,40.054941,朝阳,"116.4388,40.054941"
116.658301,39.956566,通州,"116.658301,39.956566"
116.44233,40.055139,朝阳,"116.44233,40.055139"
116.703689,39.881771,通州,"116.703689,39.881771"
116.150848,39.741485,房山,"116.150848,39.741485"
116.708256,39.880433,通州,"116.708256,39.880433"
116.59911,39.927743,朝阳,"116.59911,39.927743"
116.415435,39.964901,朝阳,"116.415435,39.964901"
116.594761,39.921447,朝阳,"116.594761,39.921447"
116.313423,39.939017,海淀,"116.313423,39.939017"
116.35335,39.875618,丰台,"116.35335,39.875618"
116.351337,39.931197,西城,"116.351337,39.931197"
116.330331,39.939379,海淀,"116.330331,39.939379"
116.462042,39.803975,大兴,"116.462042,39.803975"
116.483207,39.986183,朝阳,"116.483207,39.986183"
116.326541,39.760596,大兴,"116.326541,39.760596"
116.377942,39.847498,丰台,"116.377942,39.847498"
116.422817,39.862947,丰台,"116.422817,39.862947"
116.352941,39.904679,西城,"116.352941,39.904679"
116.108486,39.944281,门头沟,"116.108486,39.944281"
116.32442,39.858227,丰台,"116.32442,39.858227"
116.265774,40.170928,昌平,"116.265774,40.170928"
116.358984,40.037772,海淀,"116.358984,40.037772"
116.430562,40.045549,朝阳,"116.430562,40.045549"
116.373644,39.977641,海淀,"116.373644,39.977641"
116.100772,39.944701,门头沟,"116.100772,39.944701"
116.497474,39.810115,亦庄开发区,"116.497474,39.810115"
116.315028,39.900525,海淀,"116.315028,39.900525"
116.455989,39.891295,朝阳,"116.455989,39.891295"
116.272216,39.933962,海淀,"116.272216,39.933962"
116.501162,39.915382,朝阳,"116.501162,39.915382"
116.561925,39.745913,通州,"116.561925,39.745913"
116.35335,39.875618,丰台,"116.35335,39.875618"
116.291708,39.844912,丰台,"116.291708,39.844912"
116.549499,39.746067,通州,"116.549499,39.746067"
116.367174,39.952363,海淀,"116.367174,39.952363"
116.350986,39.803747,大兴,"116.350986,39.803747"
116.311376,39.95358,海淀,"116.311376,39.95358"
116.448231,39.947027,朝阳,"116.448231,39.947027"
116.508558,39.918042,朝阳,"116.508558,39.918042"
116.484696,39.903711,朝阳,"116.484696,39.903711"
116.366352,39.876062,西城,"116.366352,39.876062"
116.315943,40.060937,海淀,"116.315943,40.060937"
116.541069,40.099551,顺义,"116.541069,40.099551"
116.36446,39.77701,大兴,"116.36446,39.77701"
116.685667,39.925912,通州,"116.685667,39.925912"
116.36203,39.745873,大兴,"116.36203,39.745873"
116.156297,39.738936,房山,"116.156297,39.738936"
116.135077,39.740429,房山,"116.135077,39.740429"
116.428439,39.781787,大兴,"116.428439,39.781787"
116.416572,40.063191,朝阳,"116.416572,40.063191"
116.464603,39.905054,朝阳,"116.464603,39.905054"
116.154608,39.726495,房山,"116.154608,39.726495"
116.16711,39.738534,房山,"116.16711,39.738534"
116.664666,39.924748,通州,"116.664666,39.924748"
116.674125,39.888623,通州,"116.674125,39.888623"
116.476134,39.8981,朝阳,"116.476134,39.8981"
116.44957,39.926007,朝阳,"116.44957,39.926007"
116.422621,40.03926,朝阳,"116.422621,40.03926"
116.436604,39.852209,丰台,"116.436604,39.852209"
116.34688,39.912912,西城,"116.34688,39.912912"
116.489739,39.939299,朝阳,"116.489739,39.939299"
116.452957,39.95468,朝阳,"116.452957,39.95468"
116.343001,39.964408,海淀,"116.343001,39.964408"
116.683117,40.127185,顺义,"116.683117,40.127185"
116.254212,40.216336,昌平,"116.254212,40.216336"
116.309979,39.888606,丰台,"116.309979,39.888606"
116.622063,39.931519,朝阳,"116.622063,39.931519"
116.404498,39.847018,丰台,"116.404498,39.847018"
116.189825,39.774016,房山,"116.189825,39.774016"
116.505098,39.918019,朝阳,"116.505098,39.918019"
116.18749,39.731011,房山,"116.18749,39.731011"
116.272241,40.229588,昌平,"116.272241,40.229588"
116.447271,40.048622,朝阳,"116.447271,40.048622"
116.445474,40.05627,朝阳,"116.445474,40.05627"
116.483653,39.88914,朝阳,"116.483653,39.88914"
116.433148,40.136715,昌平,"116.433148,40.136715"
116.431102,40.050579,朝阳,"116.431102,40.050579"
116.65235,39.876941,通州,"116.65235,39.876941"
116.41718,39.851679,丰台,"116.41718,39.851679"
116.397152,39.866951,丰台,"116.397152,39.866951"
116.385168,39.900454,西城,"116.385168,39.900454"
116.228643,39.90865,石景山,"116.228643,39.90865"
116.44233,40.055139,朝阳,"116.44233,40.055139"
116.402983,39.859787,丰台,"116.402983,39.859787"
116.348983,39.922071,西城,"116.348983,39.922071"
116.446312,39.956506,朝阳,"116.446312,39.956506"
116.44697570801,39.909694671631,朝阳,"116.44697570801,39.909694671631"
116.413636,39.950088,东城,"116.413636,39.950088"
116.497474,39.810115,亦庄开发区,"116.497474,39.810115"
116.25065,39.905011,石景山,"116.25065,39.905011"
116.614985,39.917316,朝阳,"116.614985,39.917316"
116.419618,39.845427,丰台,"116.419618,39.845427"
116.420933,40.075524,昌平,"116.420933,40.075524"
116.377536,39.799961,丰台,"116.377536,39.799961"
116.516087,39.923147,朝阳,"116.516087,39.923147"
116.125988,39.926379,门头沟,"116.125988,39.926379"
116.675955,40.037646,顺义,"116.675955,40.037646"
116.457117,39.971046,朝阳,"116.457117,39.971046"
116.703689,39.881771,通州,"116.703689,39.881771"
116.344224,39.881161,丰台,"116.344224,39.881161"
116.264969,39.927867,海淀,"116.264969,39.927867"
116.308663,39.839115,丰台,"116.308663,39.839115"
116.413053,39.962564,朝阳,"116.413053,39.962564"
116.375715,39.838257,丰台,"116.375715,39.838257"
116.372605,39.949564,西城,"116.372605,39.949564"
116.382066,40.071409,海淀,"116.382066,40.071409"
116.51152,39.901436,朝阳,"116.51152,39.901436"
116.372605,39.949564,西城,"116.372605,39.949564"
116.329405,39.846371,丰台,"116.329405,39.846371"
116.308152,39.986695,海淀,"116.308152,39.986695"
116.340674,39.884851,西城,"116.340674,39.884851"
116.457814,39.770511,大兴,"116.457814,39.770511"
116.42022,40.044807,朝阳,"116.42022,40.044807"
116.346109,39.756539,大兴,"116.346109,39.756539"
116.353434,39.940291,西城,"116.353434,39.940291"
116.709093,39.882066,通州,"116.709093,39.882066"
116.388558,39.868822,丰台,"116.388558,39.868822"
116.462116,39.973094,朝阳,"116.462116,39.973094"
116.125988,39.926379,门头沟,"116.125988,39.926379"
116.476546,39.905624,朝阳,"116.476546,39.905624"
116.325575,39.88657,丰台,"116.325575,39.88657"
116.112248,39.944378,门头沟,"116.112248,39.944378"
116.317018,39.932102,海淀,"116.317018,39.932102"
116.22017,39.812435,房山,"116.22017,39.812435"
116.594761,39.921447,朝阳,"116.594761,39.921447"
116.468477,40.008959,朝阳,"116.468477,40.008959"
116.58468,39.935758,朝阳,"116.58468,39.935758"
116.342088,39.749733,大兴,"116.342088,39.749733"
116.450729,39.977923,朝阳,"116.450729,39.977923"
116.272246,40.055525,海淀,"116.272246,40.055525"
116.432802,40.043409,朝阳,"116.432802,40.043409"
116.193275,39.766293,房山,"116.193275,39.766293"
116.196292,39.931247,石景山,"116.196292,39.931247"
116.206157,39.924684,石景山,"116.206157,39.924684"
116.382561,39.862204,丰台,"116.382561,39.862204"
116.300248,39.924355,海淀,"116.300248,39.924355"
116.289273,39.845229,丰台,"116.289273,39.845229"
116.344572,39.966944,海淀,"116.344572,39.966944"
116.377339,39.983461,海淀,"116.377339,39.983461"
116.077893,39.715035,房山,"116.077893,39.715035"
116.564943,39.927447,朝阳,"116.564943,39.927447"
116.355878,39.980297,海淀,"116.355878,39.980297"
116.264835,40.129939,昌平,"116.264835,40.129939"
116.34816,39.904437,西城,"116.34816,39.904437"
116.107481,39.893222,门头沟,"116.107481,39.893222"
116.497855,39.809567,亦庄开发区,"116.497855,39.809567"
116.608355,39.936064,朝阳,"116.608355,39.936064"
116.175752,39.728172,房山,"116.175752,39.728172"
116.306359,39.9679,海淀,"116.306359,39.9679"
116.43942,40.072066,昌平,"116.43942,40.072066"
116.188426,39.935915,石景山,"116.188426,39.935915"
116.685781,39.944456,通州,"116.685781,39.944456"
116.476134,39.8981,朝阳,"116.476134,39.8981"
116.484508,39.93403,朝阳,"116.484508,39.93403"
116.309909,39.917893,海淀,"116.309909,39.917893"
116.369475,40.069842,海淀,"116.369475,40.069842"
116.407943,39.714557,大兴,"116.407943,39.714557"
116.348211,39.909325,西城,"116.348211,39.909325"
116.121677,39.896688,门头沟,"116.121677,39.896688"
116.343714,39.996907,海淀,"116.343714,39.996907"
116.665897,39.873868,通州,"116.665897,39.873868"
116.28512,39.888524,丰台,"116.28512,39.888524"
116.43942,40.072066,昌平,"116.43942,40.072066"
116.559856,39.972841,朝阳,"116.559856,39.972841"
116.421876,40.008585,朝阳,"116.421876,40.008585"
116.378016,39.908815,西城,"116.378016,39.908815"
116.447031,39.911554,朝阳,"116.447031,39.911554"
116.241953,39.85183,丰台,"116.241953,39.85183"
116.430723,39.888924,东城,"116.430723,39.888924"
116.270772,39.931256,海淀,"116.270772,39.931256"
116.674754,40.133443,顺义,"116.674754,40.133443"
116.481385,39.874867,朝阳,"116.481385,39.874867"
116.245126,39.92932,海淀,"116.245126,39.92932"
116.336918,39.893507,西城,"116.336918,39.893507"
116.521988,39.927428,朝阳,"116.521988,39.927428"
116.339803,40.085341,昌平,"116.339803,40.085341"
116.529843,39.934036,朝阳,"116.529843,39.934036"
116.456721,39.979209,朝阳,"116.456721,39.979209"
116.236519,39.898977,石景山,"116.236519,39.898977"
116.381079,39.945346,西城,"116.381079,39.945346"
116.202321,39.936458,石景山,"116.202321,39.936458"
116.18749,39.731011,房山,"116.18749,39.731011"
116.466526,39.806206,大兴,"116.466526,39.806206"
116.501885,39.961933,朝阳,"116.501885,39.961933"
116.274117,40.225828,昌平,"116.274117,40.225828"
116.461498,39.954426,朝阳,"116.461498,39.954426"
116.529599,39.950025,朝阳,"116.529599,39.950025"
116.125988,39.926379,门头沟,"116.125988,39.926379"
116.302098,39.823538,丰台,"116.302098,39.823538"
116.390657,39.991903,朝阳,"116.390657,39.991903"
116.111318,39.949921,门头沟,"116.111318,39.949921"
116.427853,39.966824,朝阳,"116.427853,39.966824"
116.521774,39.94004,朝阳,"116.521774,39.94004"
116.364538,39.957757,海淀,"116.364538,39.957757"
116.322924,39.858272,丰台,"116.322924,39.858272"
116.346988,40.035114,海淀,"116.346988,40.035114"
116.678194,40.129754,顺义,"116.678194,40.129754"
116.456795,39.973905,朝阳,"116.456795,39.973905"
116.429293,39.872461,朝阳,"116.429293,39.872461"
116.419561,40.063693,朝阳,"116.419561,40.063693"
116.340034,39.885855,西城,"116.340034,39.885855"
